,Accuracy,Precision,F1-Score,TPR (Recall),TNR,auROC,auPR,MCC
Decision Tree,0.8662,0.547,0.6441,0.7832,0.8814,0.9091,0.6453,0.5787
SVM,0.8667,0.5514,0.6324,0.7413,0.8897,0.8814,0.6132,0.5621
MLP,0.8543,0.5188,0.628,0.7955,0.865,0.9067,0.646,0.5615
Random Forest,0.8827,0.6018,0.6528,0.7133,0.9137,0.9153,0.6775,0.5859
XGBoost,0.8867,0.6114,0.6672,0.7343,0.9146,0.923,0.7051,0.6033
