sampling_strategy,Accuracy,Precision,TPR (Recall),F1-Score,TNR,MCC,auROC,auPR,Precision (weighted),F1-Score (weighted)
0.3,0.9018,0.685,0.6767,0.6807,0.943,0.6227,0.9301,0.7456,0.9013,0.9015
0.5,0.8977,0.6602,0.7006,0.6796,0.9338,0.6193,0.929,0.7387,0.9005,0.899
0.7,0.8955,0.6453,0.7216,0.6812,0.9273,0.6204,0.928,0.7339,0.9011,0.8978
auto,0.894,0.6343,0.747,0.6857,0.9209,0.6257,0.9265,0.7307,0.9029,0.8974
